Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,33195,2010,05,20,0.2,1,N
IDCJAC0009,33195,2010,05,21,0.0,1,N
IDCJAC0009,33195,2010,05,22,0.0,1,N
IDCJAC0009,33195,2010,05,23,0.0,1,N
IDCJAC0009,33195,2010,05,24,0.0,1,N
IDCJAC0009,33195,2010,05,25,0.0,1,N
IDCJAC0009,33195,2010,05,26,10.0,1,N
IDCJAC0009,33195,2010,05,27,0.2,1,N
IDCJAC0009,33195,2010,05,28,0.0,1,N
IDCJAC0009,33195,2010,05,29,0.0,1,N
IDCJAC0009,33195,2010,05,30,0.0,1,N
IDCJAC0009,33195,2010,05,31,0.0,1,N
IDCJAC0009,33195,2010,06,01,0.0,1,N
IDCJAC0009,33195,2010,06,02,0.0,1,N
IDCJAC0009,33195,2010,06,03,0.0,1,N
IDCJAC0009,33195,2010,06,04,0.8,1,N
IDCJAC0009,33195,2010,06,05,0.0,1,N
IDCJAC0009,33195,2010,06,06,0.0,1,N
IDCJAC0009,33195,2010,06,07,0.0,1,N
IDCJAC0009,33195,2010,06,08,0.0,1,N
IDCJAC0009,33195,2010,06,09,0.0,1,N
IDCJAC0009,33195,2010,06,10,0.0,1,N
IDCJAC0009,33195,2010,06,11,0.0,1,N
IDCJAC0009,33195,2010,06,12,0.0,1,N
IDCJAC0009,33195,2010,06,13,0.0,1,N
IDCJAC0009,33195,2010,06,14,2.0,1,N
IDCJAC0009,33195,2010,06,15,0.4,1,N
IDCJAC0009,33195,2010,06,16,0.0,1,N
IDCJAC0009,33195,2010,06,17,0.0,1,N
IDCJAC0009,33195,2010,06,18,0.0,1,N
IDCJAC0009,33195,2010,06,19,0.0,1,N
IDCJAC0009,33195,2010,06,20,0.0,1,N
IDCJAC0009,33195,2010,06,21,0.0,1,N
IDCJAC0009,33195,2010,06,22,0.0,1,N
IDCJAC0009,33195,2010,06,23,0.0,1,N
IDCJAC0009,33195,2010,06,24,0.0,1,N
IDCJAC0009,33195,2010,06,25,1.8,1,N
IDCJAC0009,33195,2010,06,26,0.0,1,N
IDCJAC0009,33195,2010,06,27,0.0,1,N
IDCJAC0009,33195,2010,06,28,0.0,1,N
IDCJAC0009,33195,2010,06,29,0.0,1,N
IDCJAC0009,33195,2010,06,30,0.0,1,N
IDCJAC0009,33195,2010,07,01,0.0,1,N
IDCJAC0009,33195,2010,07,02,0.0,1,N
IDCJAC0009,33195,2010,07,03,0.8,1,N
IDCJAC0009,33195,2010,07,04,0.0,1,N
IDCJAC0009,33195,2010,07,05,0.0,1,N
IDCJAC0009,33195,2010,07,06,0.0,1,N
IDCJAC0009,33195,2010,07,07,0.0,1,N
IDCJAC0009,33195,2010,07,08,0.0,1,N
IDCJAC0009,33195,2010,07,09,7.0,1,N
IDCJAC0009,33195,2010,07,10,0.0,1,N
IDCJAC0009,33195,2010,07,11,0.8,1,N
IDCJAC0009,33195,2010,07,12,0.0,1,N
IDCJAC0009,33195,2010,07,13,0.2,1,N
IDCJAC0009,33195,2010,07,14,0.2,1,N
IDCJAC0009,33195,2010,07,15,0.0,1,N
IDCJAC0009,33195,2010,07,16,0.0,1,N
IDCJAC0009,33195,2010,07,17,0.0,1,N
IDCJAC0009,33195,2010,07,18,0.2,1,N
IDCJAC0009,33195,2010,07,19,0.0,1,N
IDCJAC0009,33195,2010,07,20,0.0,1,N
IDCJAC0009,33195,2010,07,21,0.0,1,N
IDCJAC0009,33195,2010,07,22,0.0,1,N
IDCJAC0009,33195,2010,07,23,0.0,1,N
IDCJAC0009,33195,2010,07,24,0.0,1,N
IDCJAC0009,33195,2010,07,25,0.0,1,N
IDCJAC0009,33195,2010,07,26,0.0,1,N
IDCJAC0009,33195,2010,07,27,0.0,1,N
IDCJAC0009,33195,2010,07,28,0.0,1,N
IDCJAC0009,33195,2010,07,29,0.0,1,N
IDCJAC0009,33195,2010,07,30,0.0,1,N
IDCJAC0009,33195,2010,07,31,0.0,1,N
IDCJAC0009,33195,2010,08,01,0.0,1,N
IDCJAC0009,33195,2010,08,02,0.0,1,N
IDCJAC0009,33195,2010,08,03,0.0,1,N
IDCJAC0009,33195,2010,08,04,0.0,1,N
IDCJAC0009,33195,2010,08,05,0.0,1,N
IDCJAC0009,33195,2010,08,06,0.0,1,N
IDCJAC0009,33195,2010,08,07,0.2,1,N
IDCJAC0009,33195,2010,08,08,0.0,1,N
IDCJAC0009,33195,2010,08,09,0.0,1,N
IDCJAC0009,33195,2010,08,10,0.4,1,N
IDCJAC0009,33195,2010,08,11,80.2,1,N
IDCJAC0009,33195,2010,08,12,0.2,1,N
IDCJAC0009,33195,2010,08,13,0.0,1,N
IDCJAC0009,33195,2010,08,14,0.0,1,N
IDCJAC0009,33195,2010,08,15,0.0,1,N
IDCJAC0009,33195,2010,08,16,0.0,1,N
IDCJAC0009,33195,2010,08,17,0.0,1,N
IDCJAC0009,33195,2010,08,18,0.0,1,N
